span_anchor_teitok_id,span_anchor_chapter,span_offset,beck_dmm_id,beck_greek_lemma,beck_latin_lemma,beck_degree,cardinality,berendes_teitok_id,berendes_teitok_candidates,berendes_degree,berendes_book_num,berendes_chapter_raw,berendes_chapter_keys,berendes_term,desmoulins_page,desmoulins_chapter,desmoulins_term,laguna_book,laguna_page,laguna_chapter,laguna_title,laguna_scan_id,wechel_book,wechel_page,wechel_chapter,wechel_title,wechel_scan_id,mattioli_book,mattioli_chapter_decimal,mattioli_chapter_roman,mattioli_greek,mattioli_latin,ruel_book,ruel_page_scan,ruel_folio,ruel_chapter,ruel_title_latin,ruel_title_vernacular,lusitanus_page,lusitanus_chapter,lusitanus_title,barbaro_book,barbaro_page,barbaro_chapter,barbaro_term,gunther_chapter,gunther_division,gunther_term,wellmann_id,wellmann_book,wellmann_chapter,wellmann_greek_lemma,wellmann_greek_text
e-290,2.95,0,DMM2077,μυελός,Marrow,,,e-290,,,2,2.95,2.95,Mark,250,Chap. LXX,De la mouelle.,Libro secundo,171,Cap LXIX,"De la medula, o tuetano de los hueffos",183,Liber secundus,116,Cap. XCV,De Medullis,150,,2.70,LXX,Μυελός,MEDULLA,Liber secundus,99,39r,Cap LXXVIII,De medullarum ratione,De medullarum ratione,212,Enarratio 72,De medulla ossium animalium (medulla / moelle),CCXCVI,64,0,Medullae animalium,2.98,div-256,APOPATOS,w-207,2,77,μυελός,μυελῶν
e-291,2.96,0,DMM2078,χολή,Bile,,,e-291,,,2,2.96,2.96,Jegliche Art Galle,250,Chap. LXXI,Du fiel.,Libro secundo,171,Cap LXX,De la hiel de los animales,183,Liber secundus,117,Cap. XCVI,De omni fellis genere,151,,2.71,LXXI,Χολή,FEL,Liber secundus,100,0v,Cap LXXXVIII,De felle,De felle,212,Enarratio 73,De felle animalis (fel),CCXCVII,64,0,Fel animalium,2.96,div-257,PERI OURON,w-208,2,78,χολή,χολὴ
e-292,2.97,0,DMM2079,αἷμα,Blood,,,e-292,,,2,2.97,2.97,Blut,251,Chap. LXXII,Du sang.,Libro secundo,172,Cap LXXI,De la Sangre,184,Liber secundus,118,Cap. XCVII,De sanguinis varijs generibus,152,,2.72,LXXII,Αἷμα,SANGUIS,Liber secundus,101,40r,Cap LXXXIX,De sanguine,De sanguine,213,Enarratio 74,De sanguine (sanguis),CCXCVIII,64,0,Sanguis,,,,w-209,2,79,αἷμα,αἷμα
e-293,2.98,0,DMM2080,ἀπόπατος,Dung,,,e-293,,,2,2.98,2.98,Koth,252,Chap. LXXIII,De la fiante.,Libro secundo,173,Cap LXXII,Del estiercol,185,Liber secundus,119,Cap. XCVIII,De fimo,153,,2.73,LXXIII,Ἀπόπατος,FIMUM,Liber secundus,101,40r,Cap XC,De fimo,De fimo,214,Enarratio 75,De stercore animalium (stercus),CCXCIX,65,31,Fimum,,,,w-210,2,80,ἀπόπατος,ἀπόπατος
e-294,2.99,0,DMM2081,οὖρον,Urine,,,e-294,,,2,2.99,2.99,Urin,254,Chap. LXXIIII,De l'urine.,Libro secundo,174,Cap LXXIII,De la Orina,186,Liber secundus,120,Cap. XCIX,De urinis,154,,2.74,LXXIV,Οὖρον,URINA,Liber secundus,102,0v,Cap XCI,De urina,De urina,215,Enarratio 76,"De urina (urina, lotium)",CCCI,65,31,Urina,,,,w-211,2,81,οὖρον,οὖρον
e-294,2.99,1,DMM2081,οὖρον,Urine,,,e-295,,,2,2.100,2.100,Lyngurion,254,Chap. LXXIIII,De l'urine.,,,,,,Liber secundus,121,Cap. C,De Lyncurio,155,,,,,,,,,,,,215,Enarratio 76,"De urina (urina, lotium)",CCCII,65,31,Lyncurium,,,,w-211,2,81,οὖρον,οὖρον
e-296,2.101,0,DMM2082,μέλι,Honey,,,e-296,,,2,2.101,2.101,Honig,255,Chap. LXXV,Du miel.,Libro secundo,175,Cap LXXIIII,De la Miel,187,Liber secundus,121,Cap. CI,De Melle,155,,2.75,LXXV,Μέλι,MEL,Liber secundus,103,41r,Cap XCII,De melle,De melle,216,Enarratio 77,De melle (mel),CCCIII,65,31,Mel,2.101,div-259,MELI,w-212,2,82,μέλι,μέλι
e-296,2.101,1,DMM2082,μέλι,Honey,,,e-297,,,2,2.102,2.102,Honig in Sardinien,255,Chap. LXXV,Du miel.,,,,,,Liber secundus,122,Cap. CII,De Melle Sardoo,156,,,,,,,,,,,,216,Enarratio 77,De melle (mel),CCCIIII,65,31,Mel Sardoum,2.101,div-259,MELI,w-212,2,82,μέλι,μέλι
e-296,2.101,2,DMM2082,μέλι,Honey,,,e-298,,,2,2.103,2.103,Pontischer Honig,255,Chap. LXXV,Du miel.,,,,,,Liber secundus,122,Cap. CIII,De Melle Pontico,156,,,,,,,,,,,,216,Enarratio 77,De melle (mel),CCCV,65,31,Mel Ponticum,2.101,div-259,MELI,w-212,2,82,μέλι,μέλι
e-296,2.101,3,DMM2082,μέλι,Honey,,,e-299,,,2,2.104,2.104,Honig des Zuckerrohrs,255,Chap. LXXV,Du miel.,,,,,,Liber secundus,122,Cap. CIIII,De Saccharo,156,,,,,,,,,,,,216,Enarratio 77,De melle (mel),CCCVI,66,0,Saccharum,2.101,div-259,MELI,w-212,2,82,μέλι,μέλι
e-300,2.105,0,DMM2083,κηρός,Wax,,,e-300,,,2,2.105,2.105,Wachs,258,Chap. LXXVI,De la cire.,Libro secundo,178,Cap LXXV,De la Cera,190,Liber secundus,123,Cap. CV,De Cera,157,,2.76,LXXVI,Κηρός,CERA,Liber secundus,104,v,Cap XCIII,De caera,De caera,217,Enarratio 78,De cera (cera),CCCVII,66,0,Cera,2.105,div-263,KEROS,w-213,2,83,κηρός,κηρός
e-301,2.106,0,DMM2084,πρόπολις,Bee glue,,,e-301,,,2,2.106,2.106,Vorwachs,258,Chap. LXXVII,De propolis.,Libro secundo,178,Cap LXXVI,Del Betun de las colmenas Ilamado propolis,190,Liber secundus,124,Cap. CVI,De Propoli,158,,2.77,LXXVII,Πρόπολις,PROPOLIS,Liber secundus,104,v,Cap XCIIII,De propoli,De propoli,218,Enarratio 79,De propoli (propolis),CCCVIII,66,0,Propolis,2.106,div-264,PROPOLIS,w-214,2,84,πρόπολις,πρόπολις
e-302,2.107,0,DMM2085,πυροί,Wheat,,,e-302,,,2,2.107,2.107,Weizen,260,Chap. LXXVIII,Du fourment.,Libro secundo,180,Cap LXXVII,Del Trigo,192,Liber secundus,124,Cap. CVII,De Tritico,158,,2.78,LXXVIII,Πυρός,TRITICUM,Liber secundus,104,v,Cap XCV,De tritico,De tritico,218,Enarratio 80,"De tritico (triticum, frumentum / du ble)",CCCIX,66,0,Triticum,2.107,div-265,PUROI,w-215,2,85,πυροί,πυροί
e-303,2.108,0,DMM2086,κριθή,Barley,,,e-303,,,2,2.108,2.108,Gerste,263,Chap. LXXIX,De l'orge.,Libro secundo,181,Cap LXXVIII,De la Ceuada,193,Liber secundus,125,Cap. CVIII,De Hordeo,159,,2.79,LXXIX,Κριθή,HORDEUM,Liber secundus,105,42r,Cap XCVI,De hordeo,De hordeo,219,Enarratio 81,De bordeo (bordeum / orge),CCCX,69,33,Hordeum,2.108,div-266,KRITHE,w-216,2,86,κριθή,κριθή
e-304,2.109,0,DMM2087,ζύθος,Beer,,,e-304,,,2,2.109,2.109,Zythos,264,Chap. LXXX,Du zythum espece de biere.,Libro secundo,182,Cap LXXIX,"Del Zytho, y del Curmi",194,Liber secundus,125,Cap. CIX,De Zytho,159,,2.80,LXXX,Ζύθος,ZYTHUM,Liber secundus,106,0v,Cap XCVII,De zytho,De zytho,220,Enarratio 82,"De zytho et curmi (zythum, curmi, cervisiae genera)",CCCXI,69,33,Zythos,2.109,div-267,ZUTHOS,w-217,2,87,ζύθος,ζύθος
e-305,2.110,0,DMM2088,κοῦρμι,Courmi,,,e-305,,,2,2.110,2.110,Kurmi,264,Chap. LXXXI,Du curmi autre espece de biere ou cervoise.,,,,,,Liber secundus,126,Cap. CX,De Curmi,160,,2.81,LXXXI,Κοῦρμι,CURMI,Liber secundus,106,0v,Cap XCVIII,De courmite,De courmite,220,Enarratio 82,"De zytho et curmi (zythum, curmi, cervisiae genera)",CCCXI,69,33,Curmi,2.110,div-268,KOURMI,w-218,2,88,κοῦρμι,κοῦρμι
e-306,2.111,0,DMM2089,ζέα,Zea,,,e-306,,,2,2.111,2.111,Dinkel,264,Chap. LXXXII,De l'espeaute.,Libro secundo,183,Cap LXXX,De la Zea,195,Liber secundus,126,Cap. CXI,De Zea,160,,2.82,LXXXII,Ζειά,ZEA,Liber secundus,106,0v,Cap XCIX,De zea seu semine,De zea seu semine,221,Enarratio 83,"De zea (zea, semen, spelta)",CCCXII,70,0,Zea,2.111,div-269,ZEIA,w-219,2,89,ζέα,ζέα
e-307,2.112,0,DMM2090,κρίμνον,Crimnon,,,e-307,,,2,2.112,2.112,Schrot,265,Chap. LXXXIII,De crimnon.,Libro secundo,184,Cap LXXXI,Del Crimno,196,Liber secundus,126,Cap. CXII,De Crimno,160,,2.83,LXXXIII,Κρίμνον,CRIMNON,Liber secundus,106,0v,Cap C,De crassiore farina,De crassiore farina,221,Enarratio 84,"De crimno (crimnum, granum tritici, vel speltae crasso modo tritum)",CCCXIII,70,0,Crimnon,2.112,div-270,KRIMNON,w-220,2,90,κρίμνον,κρίμνον
e-308,2.113,0,DMM2091,ὄλυρα,Rice-wheat,,,e-308,,,2,2.113,2.113,Olyra,265,Chap. LXXXIII,De olyra.,Libro secundo,184,Cap LXXXII,De la Olyra,196,Liber secundus,126,Cap. CXIII,De Olyra,160,,2.84,LXXXIV,Ὄλυρα,OLYRA,Liber secundus,106,0v,Cap CI,De siligine,De siligine,221,Enarratio 85,De olyra (olyra / du seigle blanche),CCCXIIII,70,0,Olyra,2.113,div-271,OLURA,w-221,2,91,ὄλυρα,ὄλυρα
e-309,2.114,0,DMM2092,ἀθήρα,Gruel,,,e-309,,,2,2.114,2.114,Athera,266,Chap. LXXXV,De athera.,Libro secundo,184,Cap LXXXIII,De la Athera,196,Liber secundus,126,Cap. CXIIII,De Athera,160,,2.85,LXXXV,Ἀθήρα,ATHERA,Liber secundus,106,0v,Cap CII,De athera idest tenui pulticula,De athera idest tenui pulticula,222,Enarratio 86,De athera pulticula (athera),CCCXV,70,0,Athera,2.114,div-272,ATHERA,w-222,2,92,ἀθήρα,ἀθήρα
e-310,2.115,0,DMM2093,τράγος,Spelt,,,e-310,,,2,2.115,2.115,Tragos,266,Chap. LXXXVI,Du turguet double.,Libro secundo,184,Cap LXXXIIII,Del Trago,196,Liber secundus,126,Cap. CXV,De Trago,160,,2.86,LXXXVI,Τράγος,TRAGOS,Liber secundus,106,0v,Cap CIII,De trago,De trago,222,Enarratio 87,De trago (tragus),CCCXVI,70,0,Tragos,2.115,div-273,TRAGOS,w-223,2,93,τράγος,τράγος
e-311,2.116,0,DMM2094,βρόμος,Oats,,,e-311,,,2,2.116,2.116,Hafer,266,Chap. LXXXVII,De l'avoine.,Libro secundo,184,Cap LXXXV,De la Avena,196,Liber secundus,126,Cap. CXVI,De Avena,160,,2.87,LXXXVII,Βρῶμος,AVENA,Liber secundus,106,0v,Cap CIIII,De bromo,De bromo,222,Enarratio 88,De bromo (avena / avoyne),CCCXVII,71,34,Bromos,2.116,div-274,BROMOS,w-224,2,94,βρόμος,βρόμος
e-312,2.117,0,DMM2095,ὄρυζα,Rice,,,e-312,,,2,2.117,2.117,Reis,267,Chap. LXXXVIII,Du riz.,Libro secundo,185,Cap LXXXVI,Del Arroz,197,Liber secundus,127,Cap. CXVII,De Oryza,161,,2.88,LXXXVIII,Ὄρυζα,ORYZA,Liber secundus,106,0v,Cap CV,De oryza,De oryza,223,Enarratio 89,"De oryza (oryza, hordeum galaticum, rizum / du ritz)",CCCXVIII,71,34,Oryza,2.117,div-275,ORUZA,w-225,2,95,ὄρυζα,ὄρυζα
e-313,2.118,0,DMM2096,χόνδρος,Groats,,,e-313,,,2,2.118,2.118,Graupen,268,Chap. LXXXIX,De l'alicat.,Libro secundo,185,Cap LXXXVII,Del Condro,197,Liber secundus,127,Cap. CXVIII,De Chondro,161,,2.89,LXXXIX,Χόνδρος,HALICA,Liber secundus,106,0v,Cap CLVI,De halica,De halica,223,Enarratio 90,"De chondro et farre (alica, altera spelta, far)",CCCXIX,71,34,Alica sive Chondros,2.118,div-276,CHONDROS,w-226,2,96,χόνδρος,χόνδρος
e-314,2.119,0,DMM2097,κέγχρος,Millet,,,e-314,,,2,2.119,2.119,Hirse,268,Chap. XC,Du millet.,Libro secundo,186,Cap LXXXVIII,Del Mijo,198,Liber secundus,127,Cap. CXIX,De Milio,161,,2.90,XC,Κέγχρος,MILIUM,Liber secundus,107,43r,Cap CVII,De milio,De milio,223,Enarratio 91,"De milo (milium / millio, du mil ou du milliet)",CCCXX,71,34,Milium,2.119,div-277,KENCHROS,w-227,2,97,κέγχρος,κέγχρος
e-315,2.120,0,DMM2098,ἔλυμος,Italian millet,,,e-315,,,2,2.120,2.120,Mohrenhirse,269,Chap. XCI,Du paniz.,Libro secundo,186,Cap LXXXIX,Del Panizo,198,Liber secundus,127,Cap. CXX,De Panico,161,,2.91,XCI,Ἔλυμος,PANICUM,Liber secundus,107,43r,Cap CVIII,De panico,De panico,224,Enarratio 92,De panico (panicum / du panir semblable au milliet),CCCXX,71,34,Panicum,2.120,div-278,ELUMOS,w-228,2,98,ἔλυμος,ἔλυμος
e-316,2.121,0,DMM2099,σήσαμον,Sesame,,,e-316,,,2,2.121,2.121,Sesam,270,Chap. XCII,Du sisame ou iugioline.,Libro secundo,187,Cap XC,Del Alegria,199,Liber secundus,127,Cap. CXXI,De Sesamo,161,,2.92,XCII,Σήσαμον,SESAMUM,Liber secundus,107,43r,Cap CIX,De sesama,De sesama,224,Enarratio 93,De sesamo (sesamum / sisame),CCCXXII,71,34,Sesamum,2.121,div-279,SESAMON,w-229,2,99,σήσαμον,σήσαμον
e-317,2.122,0,DMM2100,αἶρα,Darnel,,,e-317,,,2,2.122,2.122,Taumellolch,271,Chap. XCIII,De l'ivraye.,Libro secundo,187,Cap XCI,De la Zizania,199,Liber secundus,127,Cap. CXXII,De Lolio,161,,2.93,XCIII,Αἶρα,LOLIUM,Liber secundus,107,43r,Cap CX,De lolio,De lolio,225,Enarratio 94,De lolio (lolium / giolio du ble),CCCXXIII,72,0,Lolium,2.122,div-280,AIRA,w-230,2,100,αἶρα,αἶρα
e-318,2.123,0,DMM2101,ἄμυλον,Starch,,,e-318,,,2,2.123,2.123,St?rkemehl,272,Chap. XCIIII,De l'amidon.,Libro secundo,188,Cap XCII,"Del Almidon, o Amydon",200,Liber secundus,128,Cap. CXXIII,De Amylo,162,,2.94,XCIV,Ἄμυλον,AMYLUM,Liber secundus,107,43r,Cap CXI,De amylo,De amylo,225,Enarratio 95,"De amylo (amylium, amydum)",CCCXXIIII,72,0,Amylum,2.123,div-281,AMULON,w-231,2,101,ἄμυλον,ἄμυλον
e-319,2.124,0,DMM2102,τέλεως ἄλευρον,Meal of fenugreek,,,e-319,,,2,2.124,2.124,Bockshornmehl,272,Chap. XCV,Du senegre.,Libro secundo,188,Cap XCIII,De las Alholuas,200,Liber secundus,128,Cap. CXXIIII,De Foenigraeci farina,162,,2.95,XCV,Τῆλις,FOENUM GRAECUM,Liber secundus,108,0v,Cap CXII,De foeni graeci farina,De foeni graeci farina,226,Enarratio 96,"De foeno graeco (foeno graecii, foenum graecum / fene grec)",CCCXXV,73,35,Foenum Graecum,2.124,div-282,TELEOS ALEURON,w-232,2,102,τέλεως ἄλευρον,τήλεως ἄλευρον
e-320,2.125,0,DMM2103,λινόσπερμον,Linseed,,,e-320,,,2,2.125,2.125,Lein,273,Chap. XCVI,Du lin.,Libro secundo,189,Cap XCIIII,Del Lino,201,Liber secundus,129,Cap. CXXV,De Lino,163,,2.96,XCVI,Λίνον,LINUM,Liber secundus,108,0v,Cap CXIII,De lino,De lino,226,Enarratio 97,De lino (linum),CCCXXVI,73,35,Linum,2.125,div-283,LINON,w-233,2,103,λινόσπερμον,λινόσπερμον
e-321,2.126,0,DMM2104,ἐρέβινθος ὁ ἥμερος,Cultivated chick- pea,,,e-321,,,2,2.126,2.126,Erbse,274,Chap. XCVII,Des pois ciches.,Libro secundo,190,Cap XCV,De los Garuanços,202,Liber secundus,129,Cap. CXXVI,De Cicere,163,,2.97,XCVII,Ἐρέβινθος,CICER,Liber secundus,108,0v,Cap CXIIII,De cicere,De cicere,226,Enarratio 98,De cicere (cicer / cices),CCCXXVII,73,35,Cicer,2.126,div-284,EREBINTHOS,w-234,2,104,ἐρέβινθος ὁ ἥμερος,ἐρέβινθος ὁ ἥμερος
e-322,2.127,0,DMM2105,κύαμος Ἑλληνικός,Greek bean,,,e-322,,,2,2.127,2.127,Griechische Bohne,275,Chap. XCVIII,Des feves.,Libro secundo,191,Cap XCVI,De las Huaus,203,Liber secundus,130,Cap. CXXVII,De Faba Graeca,164,,2.98,XCVIII,Κύαμος,FABA,Liber secundus,109,44r,Cap CXV,De faba,De faba,227,Enarratio 99,De fabis (faba),CCCXXVIII,74,0,Faba,2.127,div-285,KUAMOS HELLENIKOS,w-235,2,105,κύαμος Ἑλληνικός,κύαμος Ἑλληνικός
e-323,2.128,0,DMM2106,Αἰγύπτιος κύαμος,Egyptian bean,,,e-323,,,2,2.128,2.128,Aegyptische Bohne,277,Chap. XCIX,De la feve d'Egypte.,Libro secundo,191,Cap XCVII,De la haua de Egypto,203,Liber secundus,131,Cap. CXXVIII,De Faba Aegyptia,165,,2.99,XCIX,Κύαμος αἰγύπτιος,FABA AEGYPTIA,Liber secundus,109,44r,Cap CXVI,De faba aegyptia,De faba aegyptia,228,Enarratio centesimi capitis,De faba aegyptia (faba aegyptia),CCCXXIX,74,0,Faba Aegyptia,2.128,div-286,KUAMOS AIGUPTIOS,w-236,2,106,Αἰγύπτιος κύαμος,Αἰγύπτιος κύαμος
e-324,2.129,0,DMM2107,φακός,Lentil,,,e-324,,,2,2.129,2.129,Linse,278,Chap. C,Des lentilles.,Libro secundo,192,Cap XCVIII,De las Lentejas,204,Liber secundus,131,Cap. CXXIX,De Lente,165,,2.100,C,Φακός,LENS,Liber secundus,110,0v,Cap CXVII,De lente,De lente,229,Enarratio 101,De lentibus (lens / lentille),CCCXXX,75,36,Lens,2.129,div-287,PHAKOS,w-237,2,107,φακός,φακός
e-324,2.129,1,DMM2107,φακός,Lentil,,,e-325,,,2,2.130,2.130,Zwergbohne,279,Chap. CI,Des phasiols.,Libro secundo,193,Cap XCIX,De los Phasiolos,205,Liber secundus,132,Cap. CXXX,De Phasiolo,166,,2.101,CI,Φασίολοι,PHASIOLI,Liber secundus,110,0v,Cap CXVIII,De phasiolis,De phasiolis,233,Enarratio 102,"De phaseolo (phasiolus, phaseolus, dolichus, lobus, ervilia / erville grosse)",CCCXXXI,75,36,Phasiolus,2.129,div-287,PHAKOS,w-237,2,107,φακός,φακός
e-326,2.131,0,DMM2108,ὄροβος,Bitter vetch,,,e-326,,,2,2.131,2.131,Linsenwicke,281,Chap. CII,Des ers.,Libro secundo,194,Cap C,Del Yeruo,206,Liber secundus,132,Cap. CXXXI,De Ervo,166,,2.102,CII,Ὄροβος,ERVUM,Liber secundus,110,0v,Cap CXIX,De eruo,De eruo,234,Enarratio 103,"De orobo (orobus, ervum / vesse, au desers)",CCCXXXII,75,36,Eruum,2.131,div-289,OROBOS,w-238,2,108,ὄροβος,ὄροβος
e-327,2.132,0,DMM2109,θέρμος,Lupine,,,e-327,,,2,2.132,2.132,Lupine,282,Chap. CIII,Des lupins.,Libro secundo,159,Cap CI,De los Altramuzes,207,Liber secundus,133,Cap. CXXXII,De Lupino,167,,2.103,CIII,Θέρμοι,LUPINI,Liber secundus,111,45r,Cap CXX,De lupinis,De lupinis,234,Enarratio 104,De lupinis (lupinus / lupin),CCCXXXIII,75,36,Lupinum,2.132,div-290,THERMOS EMEROS,w-239,2,109,θέρμος,θέρμος
e-327,2.132,1,DMM2109,θέρμος,Lupine,,,e-328,,,2,2.133,2.133,Wilde Lupine,282,Chap. CIII,Des lupins.,,,,,,Liber secundus,133,Cap. CXXXIII,De lupino sylvestri,167,,,,,,Liber secundus,111,45r,Cap CXXI,De rapo,De rapo,234,Enarratio 104,De lupinis (lupinus / lupin),CCCXXXIIII,75,36,Lupinum sylvestre,2.132,div-290,THERMOS EMEROS,w-239,2,109,θέρμος,θέρμος
e-329,2.134,0,DMM2110,γογγύλη,Turnip,,,e-329,,,2,2.134,2.134,Weisse R?be,283,Chap. CIIII,De la rave.,Libro secundo,196,Cap CII,"De los Nabos redondos y gressos, y de los nabos saluages",208,Liber secundus,133,Cap. CXXXIIII,De Rapo,167,,2.104,CIV,Γογγύλη,RAPUM,Liber secundus,112,0v,Cap CXXII,De buniade rapo,De buniade rapo,235,Enarratio 105,"De rapis (rapum, rapa / naveau)",CCCXXXV,75,36,Rapum,2.134,div-292,GONGULIS,w-240,2,110,γογγύλη,γογγύλη
e-329,2.134,1,DMM2110,γογγύλη,Turnip,,,e-330,,,2,2.135,2.135,Wilde weisse R?be,283,Chap. CIIII,De la rave.,,,,,,Liber secundus,134,Cap. CXXXV,De rapo sylvestri,168,,,,,,Liber secundus,112,0v,Cap CXXIII,De radice,De radice,235,Enarratio 105,"De rapis (rapum, rapa / naveau)",CCCXXXVI,76,0,Rapum sylvestre,2.134,div-292,GONGULIS,w-240,2,110,γογγύλη,γογγύλη
e-331,2.136,0,DMM2111,βουνιάς,French turnip,,,e-331,,,2,2.136,2.136,Feldkohl,284,Chap. CV,Du navet ou naveau.,Libro secundo,197,Cap CIII,Del Rauano,209,Liber secundus,134,Cap. CXXXVI,De Buniade,168,,2.105,CV,Βουνιάς,NAPUS,Liber secundus,113,46r,Cap CXXIIII,De sylvestri raphano,De sylvestri raphano,235,Enarratio 106,De napo (napum / navet),CCCXXXVII,76,0,Napum bunias,2.136,div-294,BOUNIAS,w-241,2,111,βουνιάς,βουνιάς
e-332,2.137,0,DMM2112,ῥαφανίς,Radish,,,e-332,,,2,2.137,2.137,Rettig,285,Chap. CVI,Du refort.,,,,,,Liber secundus,134,Cap. CXXXVII,"De raphano, seu radicula",168,,2.106,CVI,Ῥαφανίς,RAPHANUS,Liber secundus,113,46r,Cap CXXV,De sifaro,De sifaro,236,Enarratio 107,"De raphano (raphanus, radicula / rave, ou refort)",CCCXXXVIII,76,0,Raphanus,2.137,div-295,RAPHANIS,w-242,2,112,ῥαφανίς,ῥαφανίς
e-332,2.137,1,DMM2112,ῥαφανίς,Radish,,,e-333,,,2,2.138,2.138,Wilder Rettig,285,Chap. CVI,Du refort.,,,,,,Liber secundus,135,Cap. CXXXVIII,De radicula sylvestri,169,,,,,,Liber secundus,113,46r,Cap CXXVI,De lapatho et rumice,De lapatho et rumice,236,Enarratio 107,"De raphano (raphanus, radicula / rave, ou refort)",CCCXL,76,0,Raphanos agria,2.137,div-295,RAPHANIS,w-242,2,112,ῥαφανίς,ῥαφανίς
e-334,2.139,0,DMM2113,σίσαρον,Parsnip,,,e-334,,,2,2.139,2.139,Sisaron,286,Chap. CVII,Du siser.,Libro secundo,199,Cap CV,Del Sifaro,211,Liber secundus,135,Cap. CXXXIX,De Sisere,169,,2.107,CVII,Σίσαρον,SISER,Liber secundus,113,46r,Cap CXXVII,De lampsana,De lampsana,237,Enarratio 108,De sisaro (siser / des chiruites),CCCXLI,76,0,Siser,2.139,div-297,SISARON,w-243,2,113,σίσαρον,σίσαρον
e-335,2.140,0,DMM2114,λάπαθον,Monk’s rhubarb,,,e-335,,,2,2.140,2.140,Ampfer,288,Chap. CVIII,De lapathum.,Libro secundo,199,Cap CVI,Del lapato,211,Liber secundus,135,Cap. CXL,"De Lapatho, sive rumice",169,,2.108,CVIII,Λάπαθον,LAPATHUM SIVE RUMEX,Liber secundus,113,46r,Cap CXXVIII,De hyppolapatho,De hyppolapatho,237,Enarratio 109,"De rumice (lapathus, lapathum, lapatium, rumex, lapathum acutum / de la pareille ou de la patience). Domesticus rumex (domesticum lapathon, domesticus rumex, spinachia / espinarts). Oxalis (oxalis, acetosa)",CCCXLII,76,0,Lapathum,2.140,div-298,LAPATHON,w-244,2,114,λάπαθον,λάπαθον
e-336,2.141,0,DMM2115,ἱππολάπαθον,Dock sorrel,,,e-336,,,2,2.141,2.141,Hippolapathon,288,Chap. CVIII,De lapathum.,,,,,,Liber secundus,136,Cap. CXLI,De Hippolapatho,170,,,,,,Liber secundus,113,46r,Cap CXXIX,De bunio napi genere,De bunio napi genere,237,Enarratio 109,"De rumice (lapathus, lapathum, lapatium, rumex, lapathum acutum / de la pareille ou de la patience). Domesticus rumex (domesticum lapathon, domesticus rumex, spinachia / espinarts). Oxalis (oxalis, acetosa)",CCCXLIII,76,0,Hippolapathum,2.141,div-299,HIPPOLAPATHON,w-245,2,115,ἱππολάπαθον,ἱππολάπαθον
e-337,2.142,0,DMM2116,λαμψάνη,Charlock,,,e-337,,,2,2.142,2.142,Grauer Senf,290,Chap. CIX,De la lampsane.,Libro secundo,201,Cap CVII,De la lampsana,213,Liber secundus,136,Cap. CXLII,De Lampsana,170,,2.109,CIX,Λαμψάνη,LAMPSANA,Liber secundus,114,0v,Cap CXXX,De blitto,De blitto,238,Enarratio 110,"De lampsana (lampsana, napum sylvestre, serum napum / saunes blanches)",CCCXLIIII,77,37,Lapsana,2.142,div-300,LAMPSANE,w-246,2,116,λαμψάνη,λαμψάνη
e-338,2.143,0,DMM2117,βλίτον,Blite,,,e-338,,,2,2.143,2.143,Gem?seamaranth,290,Chap. CX,De la blette.,Libro secundo,201,Cap CVIII,De los bledos,213,Liber secundus,136,Cap. CXLIII,De Blito,170,,2.110,CX,Βλῆτον,BLITUM,Liber secundus,114,0v,Cap CXXXI,De malua,De malua,239,Enarratio 111,"De blito (blitum, blitus / blete)",CCCXLVI,77,37,Blitum,2.143,div-301,BLITON,w-247,2,117,βλίτον,βλίτον
e-339,2.144,0,DMM2118,μολόχη,Mallow,,,e-339,,,2,2.144,2.144,Malve,291,Chap. CXI,De la mauve.,Libro secundo,201,Cap CIX,De las Maluas,213,Liber secundus,136,Cap. CXLIIII,De Malva,170,,2.111,CXI,Μαλάχη,MALVA,Liber secundus,114,0v,Cap CXXXII,De attriplice,De attriplice,239,Enarratio 112,De malvis (malva / malves),CCCXLVII,77,37,Malva,2.144,div-302,MALACHE AGRIA,w-248,2,118,μολόχη,μολόχη
e-340,2.145,0,DMM2119,ἀνδράφαξυς,Orach,,,e-340,,,2,2.145,2.145,Gartenmelde,293,Chap. CXII,Des arroches.,Libro secundo,203,Cap CX,De los Armuelles,215,Liber secundus,137,Cap. CXLV,De Atriplice,171,,2.112,CXII,Ἀτράφαξις,ATRIPLEX,Liber secundus,114,0v,Cap CXXXIII,De brassica,De brassica,239,Enarratio 113,"De atriplice (atraphaxys, atriplex, aureum olus / arrouches, des bones dammes)",CCCXLVIII,77,37,Atraphaxis sive Atriplex,2.145,div-303,ATRAPHAXIS,w-249,2,119,ἀνδράφαξυς,ἀνδράφαξυς
e-341,2.146,0,DMM2120,κράμβη ἥμερος,Cultivated cabbage,,,e-341,,,2,2.146,2.146,Kohl,295,Chap. CXIII,Du chou.,Libro secundo,203,Cap CXI,De las Verças,215,Liber secundus,137,Cap. CXLVI,De Brassica,171,,2.113,CXIII,Κράμβη,BRASSICA,Liber secundus,115,47r,Cap CXXXIIII,De sylvestri brassica,De sylvestri brassica,240,Enarratio 114,"De brassica (crambe, brassica, caulis / des chauls). Altera species (lacuturris, caputium)",CCCXLIX,77,37,Brassica,2.146,div-304,KRAMBE EMEROS,w-250,2,120,κράμβη ἥμερος,κράμβη ἥμερος
